C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	16	Campy	 11	     4700	59.7
 2	P	 2	16	Campy	 12	     4720	59.7
 2	P	 2	16	Campy	 13	     4726	59.7
 2	P	 2	16	Campy	 14	     4735	59.7
 2	P	 2	16	Campy	 15	     4727	59.7
 2	P	 2	16	Campy	 16	     4712	59.7
 2	P	 2	16	Campy	 17	     4713	59.7
 2	P	 2	16	Campy	 18	     4709	59.7
 2	P	 2	16	Campy	 19	     4718	59.7
 2	P	 2	16	Campy	 20	     4748	59.7
 2	P	 2	16	Campy	 21	     4748	59.7
 2	P	 2	16	Campy	 22	     4786	59.7
 2	P	 2	16	Campy	 23	     4863	59.7
 2	P	 2	16	Campy	 24	     5008	59.7
 2	P	 2	16	Campy	 25	     5247	59.7
 2	P	 2	16	Campy	 26	     5681	59.7
 2	P	 2	16	Campy	 27	     6421	59.7
 2	P	 2	16	Campy	 28	     7395	59.7
 2	P	 2	16	Campy	 29	     8574	59.7
 2	P	 2	16	Campy	 30	     9562	59.7
 2	P	 2	16	Campy	 31	    10287	59.7
 2	P	 2	16	Campy	 32	    10898	59.7
 2	P	 2	16	Campy	 33	    11239	59.7
 2	P	 2	16	Campy	 34	    11528	59.7
 2	P	 2	16	Campy	 35	    11677	59.7
 2	P	 2	16	Campy	 36	    11796	59.7
 2	P	 2	16	Campy	 37	    11833	59.7
 2	P	 2	16	Campy	 38	    11872	59.7
 2	P	 2	16	Campy	 39	    12000	59.7
 2	P	 2	16	Campy	 40	    12006	59.7
 2	P	 2	16	Campy	 41	    12025	59.7
 2	P	 2	16	Campy	 42	    12037	59.7
 2	P	 2	16	Campy	 43	    12067	59.7
 2	P	 2	16	Campy	 44	    12106	59.7
 2	P	 2	16	Campy	 45	    12072	59.7
 2	P	 2	16	Yersi	  1	     5469	59.5
 2	P	 2	16	Yersi	  2	     5394	59.6
 2	P	 2	16	Yersi	  3	     5338	59.6
 2	P	 2	16	Yersi	  4	     5314	59.6
 2	P	 2	16	Yersi	  5	     5308	59.7
 2	P	 2	16	Yersi	  6	     5298	59.7
 2	P	 2	16	Yersi	  7	     5331	59.6
 2	P	 2	16	Yersi	  8	     5356	59.7
 2	P	 2	16	Yersi	  9	     5325	59.7
 2	P	 2	16	Yersi	 10	     5311	59.7
 2	P	 2	16	Yersi	 11	     5316	59.7
 2	P	 2	16	Yersi	 12	     5318	59.7
 2	P	 2	16	Yersi	 13	     5348	59.7
 2	P	 2	16	Yersi	 14	     5346	59.7
 2	P	 2	16	Yersi	 15	     5322	59.7
